epsilon,queries,alpha_est,cvar_est,cvar_error
0.2,320,0.04110131945643343,0.04236716537921654,0.0016129092290680241
0.14285714285714288,320,0.041441083159567654,0.042300389130493776,0.001546132980345262
0.10204081632653063,320,0.041441083159567654,0.042300389130493776,0.001546132980345262
0.07288629737609331,512,0.04459074370553039,0.04170250382492688,0.0009482476747783644
0.0520616409829238,1216,0.05043185185438449,0.04068233520419025,7.19209459582662e-05
0.03718688641637414,1216,0.05048467762662388,0.04067357308504469,8.068306510382317e-05
0.02656206172598153,1216,0.05048467762662388,0.04067357308504469,8.068306510382317e-05
0.01897290123284395,3200,0.04654091223539751,0.041349990507732644,0.0005957343575841295
0.01355207230917425,3200,0.04654091223539751,0.041349990507732644,0.0005957343575841295
0.009680051649410179,7104,0.04748918843208032,0.041183063313988126,0.0004288071638396118
0.006914322606721556,7104,0.04748918843208032,0.041183063313988126,0.0004288071638396118
0.004938801861943969,7104,0.04748370921010634,0.04118401973436166,0.0004297635842131428
